Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Total_Internet_Services,Churn,Churn_status,Avg_Revenue_Per_Month,Refund_Ratio,Tenure_Group
Female,64,0,0,Highland,92346,34.129677,-117.154277,0,3,Unknown,1,31.81,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Bank Withdrawal,20.2,65.95,0.0,0,95.43,161.38,0,,0,53.79333333333333,0.0,0-6m
Male,25,0,0,Torrance,90501,33.833699,-118.314387,0,21,Offer D,1,12.76,1,1,Fiber Optic,48.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,82.35,1852.85,0.0,0,267.96,2120.81,3,1.0,1,100.99095238095238,0.0,1-2y
Male,49,1,3,Yuba City,95993,39.075694,-121.70606,0,66,Unknown,0,0.0,0,1,DSL,28.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,54.65,3632.0,46.75,0,0.0,3585.25,6,0.0,0,54.321969696969695,0.013039536991841573,4-6y
Male,63,1,0,Fallbrook,92028,33.362575,-117.299644,1,1,Offer E,1,44.73,1,1,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.6,74.6,0.0,0,44.73,119.33,1,1.0,1,119.33,0.0,0-6m
Male,33,0,0,Oakland,94610,37.808731,-122.238708,0,4,Unknown,0,0.0,0,1,DSL,13.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,40.05,162.45,0.0,0,0.0,162.45,4,0.0,0,40.6125,0.0,0-6m
Male,58,0,0,Clearlake Oaks,95423,39.07116,-122.598542,0,2,Unknown,1,11.75,0,1,Fiber Optic,4.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,67.75,116.65,0.0,0,23.5,140.15,1,1.0,1,70.075,0.0,0-6m
Female,38,0,0,Alameda,94501,37.774633,-122.274434,0,12,Unknown,1,18.12,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.45,246.25,0.0,0,217.44,463.69,0,0.0,0,38.64083333333333,0.0,6-12m
Male,64,1,0,Glendora,91741,34.14649,-117.849815,1,7,Unknown,1,21.09,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Mailed Check,20.65,150.0,0.0,0,147.63,297.63,0,0.0,0,42.51857142857143,0.0,6-12m
Female,62,0,0,Yorkville,95494,38.888351,-123.239647,0,1,Offer E,0,0.0,0,1,DSL,22.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,35.05,35.05,0.0,0,0.0,35.05,3,1.0,1,35.05,0.0,0-6m
Female,59,1,1,San Anselmo,94960,37.99272,-122.575026,1,13,Offer D,1,16.4,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,20.45,254.5,0.0,0,213.2,467.7,0,0.0,0,35.97692307692308,0.0,1-2y
Female,21,1,0,San Diego,92139,32.677716,-117.047666,1,15,Unknown,1,12.27,0,1,Fiber Optic,76.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,88.15,1390.6,0.0,0,184.05,1574.65,4,1.0,1,104.97666666666667,0.0,1-2y
Male,78,0,0,San Pablo,94806,37.980269,-122.342635,0,2,Unknown,1,43.66,0,1,DSL,25.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.15,92.65,0.0,0,87.32,179.97,1,1.0,1,89.985,0.0,0-6m
Male,78,1,0,Huntington Beach,92648,33.679659,-118.016195,1,16,Unknown,1,45.9,0,1,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.8,1167.8,0.0,0,734.4,1902.2,1,1.0,1,118.8875,0.0,1-2y
Male,66,1,0,Pasadena,91101,34.146635,-118.139225,6,65,Unknown,1,32.08,1,1,Fiber Optic,8.0,Yes,No,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,100.75,6674.65,0.0,0,2085.2,8759.85,4,0.0,0,134.7669230769231,0.0,4-6y
Male,77,1,0,Nipomo,93444,35.050345,-120.489599,3,32,Unknown,1,7.92,1,1,Fiber Optic,3.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,106.35,3520.75,0.0,0,253.44,3774.19,5,1.0,1,117.9434375,0.0,2-4y
Female,20,1,0,Valyermo,93563,34.39583,-117.734568,7,59,Offer B,1,41.15,1,1,Fiber Optic,48.0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,One Year,Yes,Credit Card,107.0,6152.3,0.0,0,2427.85,8580.15,6,0.0,0,145.42627118644066,0.0,4-6y
Male,23,1,0,Hathaway Pines,95233,38.184914,-120.364085,1,66,Offer A,1,20.07,1,1,Fiber Optic,85.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.05,6890.0,0.0,0,1324.62,8214.62,6,1.0,1,124.46393939393941,0.0,4-6y
Male,49,0,0,Boulevard,91905,32.677097,-116.304991,0,46,Offer B,1,30.99,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,19.2,908.15,0.0,0,1425.54,2333.69,0,0.0,0,50.73239130434783,0.0,2-4y
Female,23,0,0,Paynes Creek,96075,40.343213,-121.815412,0,1,Offer E,1,44.11,0,1,Fiber Optic,69.0,No,Yes,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,0.0,0,44.11,118.81,3,1.0,1,118.81,0.0,0-6m
Female,55,1,3,Mill Creek,96061,40.331975,-121.460674,1,68,Unknown,1,18.42,1,1,Fiber Optic,53.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.05,7508.55,0.0,0,1252.56,8761.11,7,0.0,0,128.83985294117647,0.0,4-6y
Male,73,1,0,Torrance,90503,33.840399,-118.353714,1,57,Offer B,1,42.1,1,1,Fiber Optic,3.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,100.6,5746.15,0.0,0,2399.7,8145.85,4,1.0,1,142.90964912280702,0.0,4-6y
Male,19,1,0,Redondo Beach,90278,33.873395,-118.37019,9,67,Offer A,1,3.28,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,24.85,1583.5,0.0,0,219.76,1803.26,0,0.0,0,26.914328358208955,0.0,4-6y
Female,61,1,3,Salyer,95563,40.89866,-123.539754,2,33,Unknown,1,24.27,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,20.1,670.35,0.0,0,800.91,1471.26,0,0.0,0,44.583636363636366,0.0,2-4y
Male,38,0,0,Solvang,93463,34.624399,-120.137875,0,20,Offer D,1,25.41,1,1,Fiber Optic,27.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,90.7,1781.35,0.0,0,508.2,2289.55,3,0.0,0,114.4775,0.0,1-2y
Female,23,1,0,Hawaiian Gardens,90716,33.830431,-118.074071,1,64,Unknown,1,36.24,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,20.2,1277.75,0.0,0,2319.36,3597.11,0,0.0,0,56.20484375,0.0,4-6y
Female,79,0,0,Burbank,91501,34.188339,-118.300942,0,1,Unknown,0,0.0,0,1,Cable,26.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,36.45,36.45,0.0,0,0.0,36.45,2,1.0,1,36.45,0.0,0-6m
Female,52,1,2,Echo Lake,95721,38.851842,-120.076204,4,58,Unknown,1,43.52,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,19.55,1079.65,0.0,0,2524.16,3603.81,0,0.0,0,62.134655172413794,0.0,4-6y
Female,33,1,0,San Diego,92127,33.017518,-117.118456,1,24,Offer C,1,32.86,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Credit Card,20.15,456.85,0.0,0,788.64,1245.49,0,0.0,0,51.89541666666667,0.0,1-2y
Female,38,1,0,Dillon Beach,94929,38.24458,-122.956268,8,71,Unknown,1,12.12,1,1,Cable,23.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,93.2,6506.15,0.0,0,860.52,7366.67,8,0.0,0,103.75591549295775,0.0,4-6y
Male,77,1,1,Shoshone,92384,35.924252,-116.188668,6,35,Offer C,1,14.19,0,1,DSL,17.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,76.05,2747.2,0.0,0,496.65,3243.85,6,0.0,0,92.68142857142857,0.0,2-4y
Female,33,1,1,Long Beach,90803,33.760458,-118.129725,1,8,Unknown,1,29.94,0,1,Cable,17.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.55,564.35,0.0,0,239.52,803.87,5,0.0,0,100.48375,0.0,6-12m
Male,24,0,0,Mission Hills,91345,34.266389,-118.459744,0,53,Unknown,1,34.16,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,24.6,1279.0,37.68,0,1810.48,3051.8,0,0.0,0,57.5811320754717,0.012346811717674815,4-6y
Male,40,0,0,Bridgeport,93517,38.184583,-119.286558,0,1,Unknown,1,16.91,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.65,19.65,0.0,0,16.91,36.56,0,,0,36.56,0.0,0-6m
Female,69,1,0,Anaheim,92807,33.848733,-117.788357,8,72,Offer A,1,7.85,1,1,Fiber Optic,20.0,Yes,Yes,No,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,106.85,7677.4,0.0,100,565.2,8342.6,5,0.0,0,115.86944444444445,0.0,4-6y
Male,23,1,9,San Ardo,93450,35.996008,-120.85305,1,21,Offer D,0,0.0,0,1,DSL,59.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,26.05,565.75,0.0,0,0.0,565.75,1,0.0,0,26.94047619047619,0.0,1-2y
Female,68,1,0,Loomis,95650,38.809175,-121.171375,1,56,Unknown,1,33.81,1,1,Cable,29.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,100.65,5688.05,0.0,130,1893.36,7711.41,3,1.0,1,137.70374999999999,0.0,4-6y
Female,73,0,0,Davis,95618,38.544002,-121.685559,0,13,Unknown,1,19.03,1,1,Fiber Optic,24.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,4,1.0,1,118.26076923076924,0.0,1-2y
Male,53,1,0,Bella Vista,96008,40.722733,-122.109666,10,30,Offer C,1,23.16,0,1,DSL,6.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.0,1474.9,0.0,0,694.8,2169.7,2,0.0,0,72.32333333333332,0.0,2-4y
Female,58,1,0,Los Angeles,90048,34.072945,-118.37267,7,63,Unknown,1,6.33,0,1,Cable,30.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,75.55,4707.85,0.0,0,398.79,5106.64,6,0.0,0,81.05777777777779,0.0,4-6y
Male,52,1,0,The Sea Ranch,95497,38.696659,-123.436861,2,63,Unknown,1,48.14,1,1,Cable,28.0,No,Yes,No,Yes,No,Yes,Yes,No,Two Year,No,Credit Card,67.25,4234.15,0.0,150,3032.82,7416.97,4,0.0,0,117.72968253968254,0.0,4-6y
Male,31,0,2,Canoga Park,91303,34.19829,-118.602203,0,11,Unknown,1,5.84,1,1,Fiber Optic,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,86.2,893.2,0.0,30,64.24,987.44,2,0.0,0,89.76727272727273,0.0,6-12m
Male,55,1,0,San Jose,95121,37.304681,-121.809955,3,1,Offer E,0,0.0,0,1,DSL,21.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,23.45,23.45,0.0,0,0.0,23.45,1,1.0,1,23.45,0.0,0-6m
Female,74,0,0,Beverly Hills,90212,34.062095,-118.401508,0,2,Offer E,1,19.09,0,1,DSL,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,43.95,85.1,0.0,0,38.18,123.28,1,,0,61.64,0.0,0-6m
Male,49,1,0,California Hot Springs,93207,35.865795,-118.69759,9,7,Unknown,1,35.42,0,1,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.95,529.5,0.0,0,247.94,777.44,1,1.0,1,111.06285714285715,0.0,6-12m
Female,52,0,0,Point Reyes Station,94956,38.060264,-122.830646,0,14,Unknown,1,27.68,0,1,DSL,26.0,Yes,No,No,Yes,No,No,No,No,One Year,No,Credit Card,-8.0,795.15,0.0,100,387.52,1282.67,2,0.0,0,91.61928571428572,0.0,1-2y
Male,44,1,0,Brooks,95606,38.809804,-122.241383,1,1,Unknown,1,32.35,0,1,Fiber Optic,18.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,89.15,89.15,0.0,0,32.35,121.5,4,1.0,1,121.5,0.0,0-6m
Female,25,1,2,Brea,92821,33.930199,-117.862898,1,1,Unknown,1,37.92,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,20.55,20.55,0.0,0,37.92,58.47,0,1.0,1,58.47,0.0,0-6m
Male,55,1,0,Mountain View,94043,37.419725,-122.062947,6,50,Offer B,1,42.21,1,1,Fiber Optic,14.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.85,5017.9,0.0,0,2110.5,7128.4,6,1.0,1,142.56799999999998,0.0,4-6y
Female,47,0,0,Baker,92309,35.28952,-116.092214,0,4,Offer E,0,0.0,0,1,DSL,4.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,33.65,137.85,0.0,0,0.0,137.85,3,1.0,1,34.4625,0.0,0-6m
Female,44,0,0,Lagunitas,94938,38.021772,-122.691744,0,3,Offer E,1,6.61,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,18.8,56.0,0.0,0,19.83,75.83,0,,0,25.276666666666667,0.0,0-6m
Female,59,1,0,Dobbins,95935,39.381174,-121.21191,6,55,Offer B,1,24.93,0,1,Fiber Optic,17.0,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,94.75,5276.1,0.0,0,1371.15,6647.25,5,0.0,0,120.85909090909091,0.0,4-6y
Female,21,1,3,Fish Camp,93623,37.483535,-119.679414,4,1,Unknown,1,6.86,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Bank Withdrawal,20.0,20.0,0.0,0,6.86,26.86,0,,0,26.86,0.0,0-6m
Female,35,0,0,Alhambra,91801,34.090925,-118.128164,0,20,Offer D,1,4.15,0,1,Cable,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.35,927.15,0.0,0,83.0,1010.15,1,0.0,0,50.5075,0.0,1-2y
Male,63,1,1,Morongo Valley,92256,34.097863,-116.594561,6,70,Offer A,1,10.46,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,25.35,1715.15,0.0,0,732.2,2447.35,0,0.0,0,34.96214285714286,0.0,4-6y
Male,61,0,0,Lytle Creek,92358,34.238162,-117.534306,0,7,Unknown,1,47.03,1,1,Fiber Optic,2.0,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,99.8,673.25,0.0,10,329.21,1012.46,4,1.0,1,144.63714285714286,0.0,6-12m
Female,51,1,1,Desert Hot Springs,92240,33.948558,-116.516976,1,27,Unknown,1,35.52,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,24.5,761.95,0.0,0,959.04,1720.99,0,0.0,0,63.74037037037037,0.0,2-4y
Male,39,1,0,Cedarville,96104,41.505916,-120.152505,10,67,Unknown,0,0.0,0,1,DSL,6.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,50.95,3521.7,0.0,0,0.0,3521.7,6,0.0,0,52.56268656716418,0.0,4-6y
Female,58,0,0,Hayward,94545,37.62984,-122.120843,0,31,Unknown,1,16.63,1,1,Fiber Optic,12.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,79.85,2404.15,0.0,0,515.53,2919.68,2,1.0,1,94.1832258064516,0.0,2-4y
Female,26,0,0,Avenal,93204,35.916943,-120.129921,0,3,Offer E,0,0.0,0,1,Cable,52.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,34.25,139.35,0.0,0,0.0,139.35,3,1.0,1,46.449999999999996,0.0,0-6m
Male,61,0,0,Van Nuys,91406,34.195685,-118.490752,0,12,Offer D,1,25.57,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Credit Card,24.95,280.4,0.0,0,306.84,587.24,0,0.0,0,48.93666666666667,0.0,6-12m
Female,27,0,0,Fullerton,92833,33.877639,-117.961212,0,17,Offer D,1,22.26,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,19.7,340.35,0.0,0,378.42,718.77,0,0.0,0,42.28058823529412,0.0,1-2y
Male,23,0,0,Long Beach,90814,33.771612,-118.143866,0,7,Offer E,1,18.83,1,1,Fiber Optic,26.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.2,602.55,0.0,0,131.81,734.36,3,1.0,1,104.90857142857143,0.0,6-12m
Male,69,1,0,Fresno,93720,36.878709,-119.7645,0,71,Offer A,1,22.19,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,24.85,1901.0,0.0,0,1575.49,3476.49,0,0.0,0,48.96464788732394,0.0,4-6y
Male,28,1,0,Somes Bar,95568,41.444606,-123.471895,0,66,Offer A,1,7.28,1,1,Fiber Optic,51.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,105.0,7133.25,0.0,0,480.48,7613.73,6,1.0,1,115.35954545454545,0.0,4-6y
Female,33,1,0,Morro Bay,93442,35.369553,-120.763864,9,1,Unknown,0,0.0,0,1,DSL,14.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.0,35.0,0.0,0,0.0,35.0,3,,0,35.0,0.0,0-6m
Female,28,0,0,San Leandro,94579,37.687264,-122.15728,0,35,Offer C,1,45.14,1,1,Fiber Optic,41.0,No,Yes,No,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,85.3,2917.5,23.89,130,1579.9,4603.51,3,1.0,1,131.52885714285716,0.005189518432674198,2-4y
Male,59,1,0,Walnut Creek,94595,37.862128,-122.075197,8,16,Unknown,1,46.0,0,1,Fiber Optic,30.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,80.75,1321.3,0.0,0,736.0,2057.3,3,0.0,0,128.58125,0.0,1-2y
Male,55,0,0,Long Barn,95335,38.109125,-120.078597,0,2,Unknown,1,7.8,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,19.65,31.2,0.0,0,15.6,46.8,0,,0,23.4,0.0,0-6m
Female,48,1,3,Inverness,94937,38.099323,-122.945723,1,16,Offer D,0,0.0,0,1,Cable,53.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,35.5,552.7,0.0,80,0.0,632.7,2,0.0,0,39.54375,0.0,1-2y
Female,27,0,0,Bass Lake,93604,37.458367,-119.345011,0,10,Unknown,1,12.39,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Credit Card,20.9,247.0,0.0,0,123.9,370.9,0,0.0,0,37.089999999999996,0.0,6-12m
Male,42,1,3,Pasadena,91106,34.139402,-118.128658,0,71,Offer A,1,37.03,1,1,DSL,26.0,Yes,No,No,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,66.2,4692.55,0.0,0,2629.13,7321.68,3,0.0,0,103.12225352112677,0.0,4-6y
Male,58,0,0,Meadow Vista,95722,39.003358,-121.022539,0,17,Unknown,1,21.14,1,1,Fiber Optic,5.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.65,1640.0,0.0,0,359.38,1999.38,5,0.0,0,117.61058823529413,0.0,1-2y
Female,35,1,3,Arcadia,91006,34.137319,-118.029837,9,4,Unknown,1,41.93,0,1,Fiber Optic,53.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,78.9,299.75,37.01,0,167.72,430.46,2,0.0,0,107.615,0.08597779120011151,0-6m
Male,48,0,0,San Diego,92117,32.825086,-117.199424,0,23,Unknown,1,28.8,1,1,Cable,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.95,1710.45,0.0,0,662.4,2372.85,1,1.0,1,103.16739130434782,0.0,1-2y
Female,24,1,0,San Gabriel,91776,34.089927,-118.095645,5,40,Offer B,1,22.2,1,1,Fiber Optic,76.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,105.75,4228.55,0.0,0,888.0,5116.55,6,0.0,0,127.91375000000001,0.0,2-4y
Female,47,0,0,Lindsay,93247,36.205465,-119.085807,0,4,Unknown,1,45.4,0,1,DSL,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,45.65,191.05,0.0,0,181.6,372.65,1,1.0,1,93.1625,0.0,0-6m
Male,27,1,0,Oakland,94607,37.80707,-122.297401,1,12,Unknown,1,27.82,0,1,DSL,26.0,No,No,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,53.65,696.35,0.0,0,333.84,1030.19,3,1.0,1,85.84916666666668,0.0,6-12m
Male,60,0,0,Mission Viejo,92691,33.611945,-117.665867,0,59,Unknown,1,16.8,0,1,Cable,18.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,64.65,3735.45,0.0,0,991.2,4726.65,4,0.0,0,80.11271186440678,0.0,4-6y
Male,76,0,2,Courtland,95615,38.311609,-121.554034,0,38,Unknown,1,45.13,1,1,Fiber Optic,27.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Credit Card,80.45,3162.65,0.0,0,1714.94,4877.59,2,0.0,0,128.35763157894738,0.0,2-4y
Male,40,1,1,San Francisco,94110,37.750021,-122.415201,1,72,Unknown,1,11.67,1,1,Fiber Optic,26.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.1,7848.5,0.0,0,840.24,8688.74,6,0.0,0,120.67694444444444,0.0,4-6y
Male,25,0,0,Los Angeles,90077,34.102084,-118.451629,0,19,Offer D,1,34.68,0,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,19.65,358.15,0.0,0,658.92,1017.07,0,0.0,0,53.53,0.0,1-2y
Male,77,1,0,Sacramento,95831,38.494832,-121.529447,7,69,Unknown,1,14.76,1,1,Fiber Optic,14.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,84.9,5785.65,0.0,0,1018.44,6804.09,3,0.0,0,98.61,0.0,4-6y
Female,64,0,0,Los Angeles,90017,34.052842,-118.264495,0,2,Unknown,1,26.93,0,1,DSL,10.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,70.75,146.9,0.0,0,53.86,200.76,5,1.0,1,100.38,0.0,0-6m
Female,21,1,0,Camp Nelson,93208,36.057458,-118.591951,1,54,Offer B,1,2.18,1,1,Fiber Optic,71.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,110.35,5893.15,0.0,0,117.72,6010.87,7,1.0,1,111.3124074074074,0.0,4-6y
Male,70,0,0,Camarillo,93010,34.227846,-119.079903,0,1,Unknown,1,16.19,0,1,Fiber Optic,12.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.1,69.1,0.0,0,16.19,85.29,1,1.0,1,85.29,0.0,0-6m
Male,54,0,0,Fresno,93703,36.768774,-119.762633,0,14,Offer D,1,18.48,1,1,DSL,21.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,55.5,767.55,0.0,0,258.72,1026.27,2,0.0,0,73.30499999999999,0.0,1-2y
Male,58,1,0,Catheys Valley,95306,37.394411,-120.127262,1,67,Offer A,1,11.74,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,25.6,1784.9,0.0,0,786.58,2571.48,0,0.0,0,38.38029850746269,0.0,4-6y
Male,32,0,4,Long Beach,90804,33.783047,-118.1486,0,7,Offer E,1,20.52,1,1,Cable,28.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,95.0,655.5,36.6,10,143.64,772.54,3,1.0,1,110.36285714285714,0.04737618764076942,6-12m
Male,50,0,0,Hawthorne,90250,33.914775,-118.348083,0,1,Unknown,1,22.05,1,1,Cable,28.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.85,59.85,0.0,0,22.05,81.9,2,1.0,1,81.9,0.0,0-6m
Female,68,0,0,La Jolla,92037,32.853743,-117.25034,0,1,Unknown,1,17.6,0,1,Fiber Optic,2.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,71.25,71.25,0.0,10,17.6,98.85,0,,0,98.85,0.0,0-6m
